algorithm,array_size,depth,runtime
mine,2,1,511
yaroslavskiy,2,1,255
mine,2,1,256
yaroslavskiy,2,1,255
mine,2,1,511
yaroslavskiy,2,1,255
mine,2,1,256
yaroslavskiy,2,1,256
mine,2,1,256
yaroslavskiy,2,1,256
mine,2,1,255
yaroslavskiy,2,1,255
mine,2,1,256
yaroslavskiy,2,1,256
mine,2,1,256
yaroslavskiy,2,1,256
mine,2,1,0
yaroslavskiy,2,1,256
mine,2,1,256
yaroslavskiy,2,1,255
mine,2,1,511
yaroslavskiy,2,1,256
mine,2,1,255
yaroslavskiy,2,1,256
mine,2,1,255
yaroslavskiy,2,1,256
mine,2,1,511
yaroslavskiy,2,1,256
mine,2,1,256
yaroslavskiy,2,1,511
mine,2,1,256
yaroslavskiy,2,1,256
mine,2,1,511
yaroslavskiy,2,1,255
mine,2,1,255
yaroslavskiy,2,1,255
mine,2,1,255
yaroslavskiy,2,1,255
mine,2,1,256
yaroslavskiy,2,1,255
mine,2,1,256
yaroslavskiy,2,1,511
mine,2,1,255
yaroslavskiy,2,1,255
mine,2,1,255
yaroslavskiy,2,1,256
mine,2,1,255
yaroslavskiy,2,1,256
mine,2,1,255
yaroslavskiy,2,1,255
mine,2,1,256
yaroslavskiy,2,1,256
mine,2,1,511
yaroslavskiy,2,1,511
mine,2,1,511
yaroslavskiy,2,1,255
mine,2,1,256
yaroslavskiy,2,1,255
mine,2,1,767
yaroslavskiy,2,1,511
mine,2,1,511
yaroslavskiy,2,1,256
mine,2,1,255
yaroslavskiy,2,1,511
mine,4,1,767
yaroslavskiy,4,1,511
mine,4,1,511
yaroslavskiy,4,1,511
mine,4,1,511
yaroslavskiy,4,1,511
mine,4,1,766
yaroslavskiy,4,1,511
mine,4,1,511
yaroslavskiy,4,1,511
mine,4,1,511
yaroslavskiy,4,1,511
mine,4,1,255
yaroslavskiy,4,1,511
mine,4,1,256
yaroslavskiy,4,1,255
mine,4,1,511
yaroslavskiy,4,1,511
mine,4,1,256
yaroslavskiy,4,1,511
mine,4,1,256
yaroslavskiy,4,1,511
mine,4,1,511
yaroslavskiy,4,1,255
mine,4,1,511
yaroslavskiy,4,1,511
mine,4,1,255
yaroslavskiy,4,1,511
mine,4,1,256
yaroslavskiy,4,1,256
mine,4,1,255
yaroslavskiy,4,1,256
mine,4,1,510
yaroslavskiy,4,1,511
mine,4,1,511
yaroslavskiy,4,1,255
mine,4,1,256
yaroslavskiy,4,1,256
mine,4,1,511
yaroslavskiy,4,1,511
mine,4,1,511
yaroslavskiy,4,1,511
mine,4,1,511
yaroslavskiy,4,1,511
mine,4,1,511
yaroslavskiy,4,1,511
mine,4,1,511
yaroslavskiy,4,1,511
mine,4,1,511
yaroslavskiy,4,1,511
mine,4,1,256
yaroslavskiy,4,1,255
mine,4,1,511
yaroslavskiy,4,1,255
mine,4,1,255
yaroslavskiy,4,1,510
mine,4,1,256
yaroslavskiy,4,1,511
mine,4,1,255
yaroslavskiy,4,1,256
mine,4,1,511
yaroslavskiy,4,1,511
mine,4,1,511
yaroslavskiy,4,1,511
mine,8,1,511
yaroslavskiy,8,1,511
mine,8,1,1022
yaroslavskiy,8,1,766
mine,8,1,511
yaroslavskiy,8,1,511
mine,8,1,1022
yaroslavskiy,8,1,767
mine,8,1,766
yaroslavskiy,8,1,766
mine,8,1,1022
yaroslavskiy,8,1,1022
mine,8,1,767
yaroslavskiy,8,1,1022
mine,8,1,1022
yaroslavskiy,8,1,767
mine,8,1,511
yaroslavskiy,8,1,255
mine,8,1,1277
yaroslavskiy,8,1,1278
mine,8,1,1022
yaroslavskiy,8,1,1022
mine,8,1,766
yaroslavskiy,8,1,767
mine,8,1,766
yaroslavskiy,8,1,766
mine,8,1,1277
yaroslavskiy,8,1,1022
mine,8,1,766
yaroslavskiy,8,1,767
mine,8,1,766
yaroslavskiy,8,1,767
mine,8,1,766
yaroslavskiy,8,1,767
mine,8,1,766
yaroslavskiy,8,1,767
mine,8,1,767
yaroslavskiy,8,1,767
mine,8,1,767
yaroslavskiy,8,1,767
mine,8,1,1022
yaroslavskiy,8,1,1022
mine,8,1,1022
yaroslavskiy,8,1,767
mine,8,1,767
yaroslavskiy,8,1,767
mine,8,1,766
yaroslavskiy,8,1,511
mine,8,1,1277
yaroslavskiy,8,1,1022
mine,8,1,1022
yaroslavskiy,8,1,767
mine,8,1,766
yaroslavskiy,8,1,767
mine,8,1,511
yaroslavskiy,8,1,511
mine,8,1,766
yaroslavskiy,8,1,767
mine,8,1,766
yaroslavskiy,8,1,511
mine,8,1,1022
yaroslavskiy,8,1,767
mine,8,1,511
yaroslavskiy,8,1,767
mine,16,1,2555
yaroslavskiy,16,1,2044
mine,16,1,1788
yaroslavskiy,16,1,1788
mine,16,1,1278
yaroslavskiy,16,1,1533
mine,16,1,1788
yaroslavskiy,16,1,1788
mine,16,1,2300
yaroslavskiy,16,1,1788
mine,16,1,2044
yaroslavskiy,16,1,1788
mine,16,1,1789
yaroslavskiy,16,1,1533
mine,16,1,1533
yaroslavskiy,16,1,1789
mine,16,1,1533
yaroslavskiy,16,1,1533
mine,16,1,1788
yaroslavskiy,16,1,1788
mine,16,1,1533
yaroslavskiy,16,1,1533
mine,16,1,1533
yaroslavskiy,16,1,1788
mine,16,1,2810
yaroslavskiy,16,1,1788
mine,16,1,1789
yaroslavskiy,16,1,1533
mine,16,1,1789
yaroslavskiy,16,1,1533
mine,16,1,2044
yaroslavskiy,16,1,1788
mine,16,1,2044
yaroslavskiy,16,1,2044
mine,16,1,2043
yaroslavskiy,16,1,1789
mine,16,1,1789
yaroslavskiy,16,1,1533
mine,16,1,1789
yaroslavskiy,16,1,1789
mine,16,1,2044
yaroslavskiy,16,1,1533
mine,16,1,2044
yaroslavskiy,16,1,1789
mine,16,1,1788
yaroslavskiy,16,1,1789
mine,16,1,1788
yaroslavskiy,16,1,1533
mine,16,1,1277
yaroslavskiy,16,1,1277
mine,16,1,2044
yaroslavskiy,16,1,1788
mine,16,1,1277
yaroslavskiy,16,1,1533
mine,16,1,1788
yaroslavskiy,16,1,1788
mine,16,1,1277
yaroslavskiy,16,1,1278
mine,16,1,1788
yaroslavskiy,16,1,1533
mine,16,1,2555
yaroslavskiy,16,1,2299
mine,16,1,1789
yaroslavskiy,16,1,1532
mine,32,4,2811
yaroslavskiy,32,4,3832
mine,32,4,3577
yaroslavskiy,32,4,3577
mine,32,4,3832
yaroslavskiy,32,4,4088
mine,32,4,5365
yaroslavskiy,32,4,4854
mine,32,4,2555
yaroslavskiy,32,4,2811
mine,32,4,2810
yaroslavskiy,32,4,3322
mine,32,4,3577
yaroslavskiy,32,4,3832
mine,32,4,3832
yaroslavskiy,32,4,3321
mine,32,4,3066
yaroslavskiy,32,4,4599
mine,32,4,3322
yaroslavskiy,32,4,3832
mine,32,4,3832
yaroslavskiy,32,4,3833
mine,32,4,3833
yaroslavskiy,32,4,3577
mine,32,4,3066
yaroslavskiy,32,4,5110
mine,32,4,3066
yaroslavskiy,32,4,4599
mine,32,4,4087
yaroslavskiy,32,4,4598
mine,32,4,2810
yaroslavskiy,32,4,3322
mine,32,4,3833
yaroslavskiy,32,4,3066
mine,32,4,2555
yaroslavskiy,32,4,2555
mine,32,4,3832
yaroslavskiy,32,4,3066
mine,32,4,4599
yaroslavskiy,32,4,3321
mine,32,4,2555
yaroslavskiy,32,4,2300
mine,32,4,2555
yaroslavskiy,32,4,4343
mine,32,4,3066
yaroslavskiy,32,4,3321
mine,32,4,2555
yaroslavskiy,32,4,3832
mine,32,4,2811
yaroslavskiy,32,4,2810
mine,32,4,3322
yaroslavskiy,32,4,4088
mine,32,4,3577
yaroslavskiy,32,4,2810
mine,32,4,3066
yaroslavskiy,32,4,3577
mine,32,4,2299
yaroslavskiy,32,4,3066
mine,32,4,3066
yaroslavskiy,32,4,2810
mine,32,4,3576
yaroslavskiy,32,4,3066
mine,32,4,2555
yaroslavskiy,32,4,3066
mine,64,4,8176
yaroslavskiy,64,7,7664
mine,64,4,8176
yaroslavskiy,64,7,6643
mine,64,7,6387
yaroslavskiy,64,7,9198
mine,64,7,6387
yaroslavskiy,64,10,7410
mine,64,13,8175
yaroslavskiy,64,7,8943
mine,64,7,6643
yaroslavskiy,64,7,7665
mine,64,7,16351
yaroslavskiy,64,7,9198
mine,64,7,8176
yaroslavskiy,64,7,8431
mine,64,7,8687
yaroslavskiy,64,10,7665
mine,64,7,8942
yaroslavskiy,64,7,10219
mine,64,7,8431
yaroslavskiy,64,7,9964
mine,64,7,7921
yaroslavskiy,64,7,9964
mine,64,7,6898
yaroslavskiy,64,7,5876
mine,64,7,5876
yaroslavskiy,64,10,4854
mine,64,7,8176
yaroslavskiy,64,7,7410
mine,64,7,6132
